;AAL;ACB;AMD;BA;GD;GOOG;LMT;MU;NOC;NRT;RTN;USO;ZN;^GSPC;Words
167;1,86962;3,38077;2,33043;1,48168;0,9564;1,17987;0,92053;1,95066;1,17602;1,58681;1,12047;1,69272;4,21886;0,55162;mueller
168;1,85381;3,58718;3,06356;1,49304;1,14725;1,31771;0,95472;2,18482;1,11564;1,46269;1,00579;1,50155;5,33694;0,73774;last
169;1,87817;3,32422;2,53421;1,30022;1,01166;1,10969;0,88322;2,45792;1,1543;1,57395;1,06836;1,49926;5,38555;0,62246;really
170;1,66554;3,66771;2,33895;1,3465;0,86691;0,90796;0,87631;1,92715;1,12286;1,3651;0,9049;1,41891;5,32963;0,51597;foxnews
171;2,05766;3,77295;2,90904;1,55462;0,96879;1,16227;0,92212;2,38674;1,05487;1,55137;1,12986;1,39919;4,38957;0,75359;far
172;1,70644;3,63494;2,31208;1,27674;0,94187;0,95602;0,82566;2,12551;0,99282;1,69307;0,97284;1,40079;5,2516;0,52511;look
173;1,84394;3,31408;2,85207;1,47284;1,09382;1,13218;1,02461;2,194;1,2291;1,43499;1,00697;1,29608;4,655;0,72873;russia
174;1,76172;3,94152;2,54745;1,46929;0,93942;1,04233;0,80924;2,06881;1,03281;1,67433;0,97229;1,3373;4,75672;0,59499;party
175;1,57248;4,27549;2,67411;1,47479;0,98189;1,13185;0,89401;2,26601;1,06919;1,61596;1,05072;1,36387;6,19435;0,65765;these
176;1,90889;4,28641;2,40322;1,44882;0,95126;1,2498;0,94354;2,29531;1,22664;1,69594;1,06558;1,55395;5,22628;0,66179;down
177;1,65194;3,54774;2,75624;1,1791;1,05379;1,07345;0,94749;2,20769;1,1401;1,51412;0,98657;1,28596;4,47884;0,59112;hard
178;1,66973;3,99063;2,64972;1,45642;1,07954;1,17628;1,02918;1,93138;1,19946;1,69632;1,01098;1,43513;5,85858;0,58892;year
179;1,46729;2,89118;2,55389;1,31291;0,98654;0,91892;0,91148;1,62761;1,13304;1,49253;1,07399;1,52704;4,03936;0,52384;report
180;1,66627;3,46854;2,48865;1,41717;0,92854;1,11532;0,88762;2,18969;1,08677;1,69856;0,94275;1,47935;5,01219;0,60616;ï¿½
181;1,69426;3,34205;2,63414;1,44288;1,09489;1,27915;1,04174;1,94496;1,19279;1,63622;1,20128;1,42952;6,06703;0,62061;well
182;1,7539;3,80932;2,43616;1,563;1,09549;1,26578;1,01084;2,36515;1,11154;1,51055;1,11726;1,40781;3,79541;0,70581;north
183;1,77225;4,2413;2,71797;1,46122;0,94518;1,10134;0,95096;2,18199;1,12968;1,59736;1,01376;1,34261;5,26164;0,63255;total
